epoch,accuracy,loss,val_accuracy,val_loss
0,0.06846188753843307,3.0515494346618652,0.04661016911268234,3.026188373565674
1,0.10451848804950714,2.940366506576538,0.09745762497186661,2.9900407791137695
2,0.17800091207027435,2.8678321838378906,0.11864406615495682,2.9345455169677734
3,0.20492926239967346,2.7795486450195312,0.14830508828163147,2.835298776626587
4,0.25467821955680847,2.6557600498199463,0.1906779706478119,2.703773021697998
5,0.34048378467559814,2.4840915203094482,0.23728813230991364,2.5128939151763916
6,0.432679146528244,2.262904167175293,0.4576271176338196,2.2581498622894287
7,0.5691465139389038,1.9914933443069458,0.6101694703102112,1.9436366558074951
8,0.6408032774925232,1.6956080198287964,0.6228813529014587,1.6438122987747192
9,0.7015061378479004,1.4127628803253174,0.6610169410705566,1.4128332138061523
10,0.7466909885406494,1.181946039199829,0.7330508232116699,1.1829833984375
11,0.7745321989059448,0.9837203621864319,0.7245762944221497,1.0411646366119385
12,0.7886809706687927,0.8637625575065613,0.75,0.9695031046867371
13,0.8115016222000122,0.7594326138496399,0.7881355881690979,0.8216215372085571
14,0.8388863801956177,0.6681411862373352,0.7881355881690979,0.7722731232643127
15,0.8471018075942993,0.6059550046920776,0.8093220591545105,0.712655782699585
16,0.8580557107925415,0.555009663105011,0.7966101765632629,0.686578094959259
17,0.8913738131523132,0.4829610288143158,0.8220338821411133,0.6493068337440491
18,0.8941122889518738,0.4342895448207855,0.8432203531265259,0.5732853412628174
19,0.9032405018806458,0.4038638770580292,0.8093220591545105,0.6146325469017029
20,0.9082610607147217,0.3775630593299866,0.8389830589294434,0.5504606366157532
21,0.9078046679496765,0.35201770067214966,0.8644067645072937,0.49062928557395935
22,0.929256021976471,0.31852269172668457,0.8771186470985413,0.48772990703582764
23,0.9333637356758118,0.2973652780056,0.8559321761131287,0.4983983635902405
24,0.9420356154441833,0.2730371356010437,0.8516949415206909,0.4835960566997528
25,0.9429484009742737,0.25792086124420166,0.8771186470985413,0.4453536868095398
26,0.9488818049430847,0.24638499319553375,0.8262711763381958,0.5291903614997864
27,0.9452304840087891,0.2405836135149002,0.8898305296897888,0.4218805730342865
28,0.9580100178718567,0.20953112840652466,0.8855932354927063,0.42865628004074097
29,0.9666818976402283,0.19520293176174164,0.8686440587043762,0.409250408411026
30,0.9643998146057129,0.18989025056362152,0.8728813529014587,0.42147624492645264
31,0.9675946831703186,0.17973832786083221,0.8940678238868713,0.3541349768638611
32,0.9717023968696594,0.16104412078857422,0.8728813529014587,0.43274474143981934
33,0.9680511355400085,0.16682672500610352,0.8898305296897888,0.3762650191783905
